date|time|description|vendor|amount|balance
2024-07-02|09:12:15|opening deposit|Initial Balance|1500.00|1500.00
2024-07-03|11:45:22|office supplies|Staples|-62.40|1437.60
2024-07-05|14:10:05|client payment|Acme Corp|1800.00|3237.60
2024-07-06|08:55:30|coffee|Starbucks|-8.25|3229.35
2024-07-08|16:20:10|internet bill|Comcast|-95.00|3134.35
2024-07-12|13:05:45|Invoice 3001 paid|Tech Solutions|950.00|4084.35
2024-07-15|10:15:00|team lunch|Chipotle|-72.60|4011.75
2024-07-18|09:40:20|fuel|Chevron|-68.00|3943.75
2024-07-22|12:30:00|client payment|BlueSky LLC|1200.00|5143.75
2024-07-25|15:10:35|office snacks|Costco|-95.20|5048.55
2024-08-01|09:05:10|office rent|Landlord|-1200.00|3848.55
2024-08-03|11:25:00|client payment|Vertex LLC|1400.00|5248.55
2024-08-06|08:45:30|coffee|Starbucks|-7.10|5241.45
2024-08-09|14:15:20|software subscription|Adobe|-130.00|5111.45
2024-08-12|16:40:00|Invoice 3002 paid|NextGen Inc|875.00|5986.45
2024-08-15|10:20:00|fuel|Shell|-74.00|5912.45
2024-08-18|13:50:10|client payment|Delta LLC|1250.00|7162.45
2024-08-22|15:30:00|team lunch|Subway|-58.90|7103.55
2024-08-26|09:10:45|office supplies|Walmart|-110.25|6993.30
2024-09-02|09:00:00|office rent|Landlord|-1200.00|5793.30
2024-09-04|12:15:30|client payment|Skyline Ltd|1350.00|7143.30
2024-09-06|08:20:10|coffee|Starbucks|-6.80|7136.50
2024-09-10|14:40:00|ads expense|Google Ads|-280.00|6856.50
2024-09-13|11:10:25|Invoice 3003 paid|FutureWorks|910.00|7766.50
2024-09-16|15:35:45|fuel|Chevron|-70.00|7696.50
2024-09-20|10:05:00|client payment|Omega Corp|1450.00|9146.50
2024-09-24|13:25:00|office snacks|Trader Joe's|-65.40|9081.10
2024-09-28|16:50:00|software tools|Microsoft|-240.00|8841.10
2024-10-01|09:15:00|office rent|Landlord|-1200.00|7641.10
2024-10-03|11:45:10|client payment|Nova Corp|1600.00|9241.10
2024-10-05|14:05:20|team lunch|Chipotle|-82.00|9159.10
2024-10-08|08:30:00|coffee|Starbucks|-7.75|9151.35
2024-10-11|12:20:00|Invoice 3004 paid|BrightPath|980.00|10131.35
2024-10-15|15:40:00|fuel|Shell|-72.50|10058.85
2024-10-18|10:10:00|client payment|Peak Solutions|1500.00|11558.85
2024-10-22|13:30:00|office supplies|Staples|-90.00|11468.85
2024-10-27|16:05:00|cleaning service|CleanCo|-160.00|11308.85
2024-11-01|09:05:00|office rent|Landlord|-1200.00|10108.85
2024-11-03|12:40:00|client payment|Orion LLC|1550.00|11658.85
2024-11-06|08:50:00|coffee|Starbucks|-6.90|11651.95
2024-11-09|14:20:00|software renewal|Adobe|-135.00|11516.95
2024-11-12|11:30:00|Invoice 3005 paid|Zenith Corp|920.00|12436.95
2024-11-16|15:10:00|fuel|Chevron|-69.00|12367.95
2024-11-20|10:45:00|client payment|Apex LLC|1650.00|14017.95
2024-11-24|13:15:00|team lunch|Subway|-60.00|13957.95
2024-11-28|17:00:00|office snacks|Costco|-95.00|13862.95
2024-12-02|09:00:00|office rent|Landlord|-1200.00|12662.95
2024-12-04|12:20:00|client payment|Summit Corp|1700.00|14362.95
2024-12-06|08:35:00|coffee|Starbucks|-7.20|14355.75
2024-12-10|14:50:00|software tools|Microsoft|-260.00|14095.75
2024-12-13|11:25:00|Invoice 3006 paid|NextWave|950.00|15045.75
2024-12-17|15:30:00|fuel|Shell|-75.00|14970.75
2024-12-20|10:10:00|client payment|BrightEdge|1800.00|16770.75
2024-12-23|13:40:00|team dinner|Olive Garden|-185.00|16585.75
2024-12-28|16:10:00|office supplies|Walmart|-120.00|16465.75
2025-01-02|09:05:00|office rent|Landlord|-1200.00|15265.75
2025-01-04|12:10:00|client payment|Acme Corp|1600.00|16865.75
2025-01-06|08:25:00|coffee|Starbucks|-6.95|16858.80
2025-01-10|14:30:00|ads expense|Google Ads|-300.00|16558.80
2025-01-13|11:20:00|Invoice 3007 paid|Tech Solutions|980.00|17538.80
2025-01-17|15:00:00|fuel|Chevron|-70.00|17468.80
2025-01-21|10:35:00|client payment|Delta LLC|1500.00|18968.80
2025-01-25|13:10:00|team lunch|Chipotle|-85.00|18883.80
2025-01-29|16:40:00|office supplies|Staples|-95.00|18788.80
2025-02-01|09:00:00|office rent|Landlord|-1200.00|17588.80
2025-02-03|12:20:00|client payment|Vertex LLC|1550.00|19138.80
2025-02-05|08:40:00|coffee|Starbucks|-7.10|19131.70
2025-02-09|14:10:00|software subscription|Adobe|-140.00|18991.70
2025-02-12|11:30:00|Invoice 3008 paid|FutureWorks|1020.00|20011.70
2025-02-16|15:45:00|fuel|Shell|-76.00|19935.70
2025-02-20|10:50:00|client payment|Omega Corp|1650.00|21585.70
2025-02-24|13:30:00|office snacks|Costco|-90.00|21495.70
2025-02-27|16:15:00|cleaning service|CleanCo|-170.00|21325.70
2025-03-01|09:05:00|office rent|Landlord|-1200.00|20125.70
2025-03-03|12:35:00|client payment|Skyline Ltd|1700.00|21825.70
2025-03-05|08:50:00|coffee|Starbucks|-7.50|21818.20
2025-03-09|14:20:00|ads expense|Google Ads|-320.00|21498.20
2025-03-12|11:10:00|Invoice 3009 paid|BrightPath|1100.00|22598.20
2025-03-16|15:30:00|fuel|Chevron|-72.00|22526.20
2025-03-20|10:15:00|client payment|Peak Solutions|1750.00|24276.20
2025-03-24|13:40:00|team lunch|Subway|-65.00|24211.20
2025-03-28|16:20:00|office supplies|Walmart|-115.00|24096.20
2025-04-01|09:00:00|office rent|Landlord|-1200.00|22896.20
2025-04-03|12:25:00|client payment|Nova Corp|1800.00|24696.20
2025-04-05|08:30:00|coffee|Starbucks|-7.25|24688.95
2025-04-09|14:15:00|software tools|Microsoft|-260.00|24428.95
2025-04-12|11:45:00|Invoice 3010 paid|Zenith Corp|1150.00|25578.95
2025-04-16|15:10:00|fuel|Shell|-78.00|25500.95
2025-04-20|10:40:00|client payment|Apex LLC|1850.00|27350.95
2025-04-24|13:15:00|team lunch|Chipotle|-88.00|27262.95
2025-04-28|16:50:00|office snacks|Trader Joe's|-70.00|27192.95
2026-01-02|09:00:00|office rent|Landlord|-1300.00|25892.95
2026-01-04|12:15:00|client payment|Acme Corp|2000.00|27892.95
2026-01-06|08:20:00|coffee|Starbucks|-8.10|27884.85
2026-01-10|14:30:00|ads expense|Google Ads|-350.00|27534.85
2026-01-13|11:20:00|Invoice 4001 paid|Tech Solutions|1200.00|28734.85
2026-01-18|15:00:00|fuel|Chevron|-80.00|28654.85
2026-01-22|10:35:00|client payment|Delta LLC|1900.00|30554.85
2026-01-26|13:10:00|team lunch|Chipotle|-95.00|30459.85
2026-02-01|09:00:00|office rent|Landlord|-1300.00|29159.85
2026-02-03|12:20:00|client payment|Vertex LLC|1950.00|31109.85
2026-02-05|08:40:00|coffee|Starbucks|-8.25|31101.60
2026-02-09|14:10:00|software subscription|Adobe|-150.00|30951.60
2026-02-12|11:30:00|Invoice 4002 paid|FutureWorks|1250.00|32201.60
2026-02-16|15:45:00|fuel|Shell|-82.00|32119.60
2026-02-20|10:50:00|client payment|Omega Corp|2000.00|34119.60
2026-02-24|13:30:00|office snacks|Costco|-100.00|34019.60
2026-03-01|09:05:00|office rent|Landlord|-1300.00|32719.60
2026-03-03|12:35:00|client payment|Skyline Ltd|2100.00|34819.60
2026-03-05|08:50:00|coffee|Starbucks|-8.40|34811.20
2026-03-09|14:20:00|ads expense|Google Ads|-375.00|34436.20
2026-03-12|11:10:00|Invoice 4003 paid|BrightPath|1350.00|35786.20
2026-03-16|15:30:00|fuel|Chevron|-85.00|35701.20
2026-03-20|10:15:00|client payment|Peak Solutions|2200.00|37901.20
2026-03-24|13:40:00|team lunch|Subway|-72.00|37829.20
2026-04-01|09:00:00|office rent|Landlord|-1300.00|36529.20
2026-04-03|12:25:00|client payment|Nova Corp|2300.00|38829.20
2026-04-05|08:30:00|coffee|Starbucks|-8.50|38820.70
2026-04-09|14:15:00|software tools|Microsoft|-280.00|38540.70
2026-04-12|11:45:00|Invoice 4004 paid|Zenith Corp|1400.00|39940.70
2026-04-16|15:10:00|fuel|Shell|-88.00|39852.70
2026-04-20|10:40:00|client payment|Apex LLC|2400.00|42252.70
2026-04-25|13:15:00|team lunch|Chipotle|-95.00|42157.70
2026-04-29|16:00:00|office supplies|Walmart|-120.00|42037.70